

1	Hoert	Hört	VVIMP	hören	pl|2|imp	--	0
4	Voͤglers	Vöglers	NN	Vöglers	gen|sg|masc	NK	2
5	Pfeiffen	Pfeifen	NN	Pfeife	_	OC	12
6	/	/	$,	/	_	--	5
7	Euch	Euch	PPER	euch	dat|pl|*|2	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	greiffen	greifen	VVINF	greifen	_	CJ	5
10	/	/	$,	/	_	--	9
11	Zu	Zu	APPR	zu	_	PM	12
12	beschleichen	beschleichen	ADJA	beschleichen	_	OC	13
13	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
14	er	er	PPER	er	nom|sg|masc|3	SB	13
15	nah	nah	ADJD	nah	pos	PD	13
16	!	!	SENT	!	_	--	15

1	Fliehet	Fliehet	VVFIN	Fliehet	sg|3|pres|ind	MO	5
2	fuͤr	für	APPR	für	_	MO	5
3	des	des	ART	d	gen|sg|masc	NK	4
4	Voͤglers	Vöglers	NN	Vöglers	gen|sg|masc	NK	2
5	Pfeiffen	Pfeifen	NN	Pfeife	_	OC	12
6	/	/	$,	/	_	--	5
7	Euch	Euch	PPER	euch	dat|pl|*|2	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	greiffen	greifen	VVINF	greifen	_	CJ	5
10	/	/	$,	/	_	--	9
11	Zu	Zu	APPR	zu	_	PM	12
12	beschleichen	beschleichen	ADJA	beschleichen	_	OC	13
13	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
14	er	er	PPER	er	nom|sg|masc|3	SB	13
15	nah	nah	ADJD	nah	pos	PD	13
16	!	!	SENT	!	_	--	15

1	Zarte	Zarte	ADJA	zart	nom|sg|fem	SB	8
2	Hinden	Hinden	NN	Hinden	_	NK	1
3	/	/	$,	/	_	--	2
4	die	die	PRELS	d	nom|sg|fem	SB	6
5	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	6
6	graset	graset	VVFIN	graset	sg|3|pres|ind	RC	1
7	/	/	$,	/	_	--	6
8	Schertzet	scherzet	VVFIN	scherzet	sg|3|pres|ind	--	0
9	/	/	$,	/	_	--	8
10	raset	raset	ADJA	raset	sg|3|pres|ind	MO	8
11	/	/	$,	/	_	--	10
12	In	In	APPR	in	_	MO	8
13	den	den	ART	d	dat|pl|masc	NK	14
14	Gruͤnden	Gründen	NN	Grund	dat|pl|masc	NK	12
15	Hie	Hie	ADV	hier	acc|sg|fem|3	CC	14
16	und	und	KON	und	_	CD	15
17	da	da	ADV	da	_	CJ	16
18	!	!	SENT	!	_	--	17

1	Flieht	Flieht	VVFIN	Flieht	sg|3|pres|ind	MO	10
2	/	/	$,	/	_	--	1
3	der	der	ART	d	nom|sg|masc	NK	4
4	Jaͤger	Jäger	NN	Jäger	nom|sg|masc	SB	10
5	/	/	$,	/	_	--	4
6	euch	euch	PPER	ihr	dat|pl|*|2	DA	8
7	zu	zu	PTKZU	zu	_	PM	8
8	hetzen	hetzen	VVFIN	hetzen	_	OC	4
9	/	/	$,	/	_	--	8
10	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
11	mit	mit	APPR	mit	_	MO	10
12	Netzen	Netzen	NN	Netz	dat|pl|neut	NK	11
13	/	/	$,	/	_	--	12
14	Strick	Strick	NN	Strick	dat|sg|masc	CJ	12
15	und	und	KON	und	_	CD	14
16	Winden	Winden	NN	Winden	dat|sg|masc	CJ	15
17	Gar	Gar	ADV	gar	_	NK	16
18	zu	zu	PTKA	zu	_	MO	19
19	nah	nah	ADJD	nah	pos	PD	10
20	!	!	SENT	!	_	--	19

1	Amor	Amor	NE	Amor	nom|sg|*	SB	2
2	haͤlts	hält	VVFIN	halten	sg|3|pres|ind	--	0
3	mit	mit	APPR	mit	_	MO	2
4	selben	selben	PDAT	selb	dat|pl|masc|pos	NK	5
5	Streichen	Streichen	NN	streichen	dat|pl|masc	NK	3
6	/	/	$,	/	_	--	5
7	Pflegt	Pflegt	NN	Pflegt	pl|2|imp	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	schleichen	schleichen	VVFIN	schleichen	_	PAR	5
10	/	/	$,	/	_	--	9
11	Als	Als	KOKOM	als	_	CP	12
12	im	im	APPRART	im	dat|sg|neut	MO	9
13	Schertzen	Scherzen	NN	scherzen	dat|sg|neut	NK	12
14	Hie	Hie	ADV	hier	_	MO	9
15	und	und	KON	und	_	CD	14
16	da	da	ADV	da	_	CJ	15
17	!	!	SENT	!	_	--	16

1	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
2	mit	mit	APPR	mit	_	MO	1
3	Pfeiffen	Pfeifen	NN	Pfeife	dat|pl|masc	NK	2
4	/	/	$,	/	_	--	3
5	Netz	Netz	NN	Netz	nom|sg|neut	OA	10
6	und	und	KON	und	_	CD	5
7	Stricken	Stricken	NN	Stricken	acc|pl|fem	CJ	6
8	/	/	$,	/	_	--	7
9	Zu	Zu	APPR	zu	_	PM	10
10	beruͤcken	berücken	ADJA	berücken	_	NK	12
11	Freye	Freie	ADJA	frei	dat|pl|fem|sup	NK	12
12	Hertzen	Herzen	NN	Herz	dat|pl|fem	CJ	3
13	/	/	$,	/	_	--	12
14	Stets	Stets	ADV	stets	gen|sg|neut	AG	12
15	gar	gar	ADV	gar	_	MO	16
16	nah	nah	ADJD	nah	pos	PD	1
17	!	!	SENT	!	_	--	16

1	Amor	Amor	NE	Amor	nom|sg|*	SB	2
2	haͤlts	hält	VVFIN	halten	sg|3|pres|ind	--	0
3	mit	mit	APPR	mit	_	MO	2
4	selben	selben	PDAT	selb	dat|pl|masc|pos	NK	5
5	Streichen	Streichen	NN	streichen	dat|pl|masc	NK	3
6	/	/	$,	/	_	--	5
7	Pflegt	Pflegt	NN	Pflegt	pl|2|imp	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	schleichen	schleichen	VVFIN	schleichen	_	PAR	5
10	/	/	$,	/	_	--	9
11	Als	Als	KOKOM	als	_	CP	12
12	im	im	APPRART	im	dat|sg|neut	MO	9
13	Schertzen	Scherzen	NN	scherzen	dat|sg|neut	NK	12
14	Hie	Hie	ADV	hier	_	MO	9
15	und	und	KON	und	_	CD	14
16	da	da	ADV	da	_	CJ	15
17	!	!	SENT	!	_	--	16

1	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
2	mit	mit	APPR	mit	_	MO	1
3	Pfeiffen	Pfeifen	NN	Pfeife	dat|pl|masc	NK	2
4	/	/	$,	/	_	--	3
5	Netz	Netz	NN	Netz	nom|sg|neut	OA	10
6	und	und	KON	und	_	CD	5
7	Stricken	Stricken	NN	Stricken	acc|pl|fem	CJ	6
8	/	/	$,	/	_	--	7
9	Zu	Zu	APPR	zu	_	PM	10
10	beruͤcken	berücken	ADJA	berücken	_	NK	12
11	Freye	Freie	ADJA	frei	dat|pl|fem|sup	NK	12
12	Hertzen	Herzen	NN	Herz	dat|pl|fem	CJ	3
13	/	/	$,	/	_	--	12
14	Stets	Stets	ADV	stets	gen|sg|neut	AG	12
15	gar	gar	ADV	gar	_	MO	16
16	nah	nah	ADJD	nah	pos	PD	1
17	!	!	SENT	!	_	--	16

1	Orsanes	Orsanes	NE	Orsanes	_	MO	2
2	treuloß	treulos	ADJD	treulos	pos	--	0
3	.	.	SENT	.	_	--	2

1	Ja	Ja	PTKANT	ja	_	DM	8
2	/	/	$,	/	_	--	1
3	und	und	KON	und	_	CD	8
4	wie	wie	KOUS	wie	_	MO	12
5	ein	ein	ART	ein	nom|sg|masc	NK	6
6	Strick	Strick	NN	Strick	nom|sg|masc	SB	8
7	Nicht	Nicht	PTKNEG	nicht	_	NG	12
8	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
9	von	von	APPR	von	_	SBP	12
10	einem	einem	ART	ein	dat|sg|masc	NK	11
11	Garn	Garn	NN	Garn	dat|sg|masc	NK	9
12	gemacht	gemacht	VVPP	gemacht	_	OC	8
13	/	/	$,	/	_	--	12
14	So	So	ADV	so	_	MO	15
15	fuͤrcht	fürcht	VVFIN	fürcht	sg|3|pres|ind	CJ	8
16	ich	ich	PPER	ich	nom|sg|*|1	SB	15
17	/	/	$,	/	_	--	16
18	daß	daß	KOUS	daß	_	CP	32
19	er	er	PPER	er	nom|sg|masc|3	SB	32
20	schon	schon	ADV	schon	_	MO	32
21	durch	durch	APPR	durch	_	MO	32
22	lose	lose	ADJA	lose	acc|sg|fem|pos	NK	23
23	Tuͤck	Tück	NN	Tück	acc|sg|neut	NK	21
24	'	'	$'	'	_	--	23
25	Auff	auf	APPR	auf	_	MO	32
26	seine	seine	PPOSAT	sein	acc|sg|fem	NK	27
27	Seit	Seit	KOUS	seit	acc|sg|fem	NK	25
28	'	'	$'	'	_	--	27
29	auch	auch	ADV	auch	_	MO	30
30	andre	andere	PIS	ander	_	OA	32
31	mehr	mehr	ADV	mehr	_	MO	32
32	gebracht	gebracht	VVPP	bringen	_	OC	15
33	.	.	SENT	.	_	--	32

1	Untreue	Untreue	NN	Untreue	acc|pl|neut|pos	NK	2
2	Diener	Diener	NN	Diener	nom|pl|masc	--	0
3	.	.	SENT	.	_	--	2
4	.	.	SENT	.	_	UC	3
5	.	.	SENT	.	_	UC	4

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	Heer	Heer	NN	Heer	nom|sg|neut	OA	3
3	geschlagen	geschlagen	VVPP	schlagen	_	--	0
4	.	.	SENT	.	_	--	3
5	.	.	SENT	.	_	UC	4
6	.	.	SENT	.	_	UC	5

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Koͤnig	König	NN	König	nom|sg|masc	SB	4
3	selbst	selbst	PRF	selbst	_	MNR	2
4	gefangen	gefangen	VVPP	fangen	_	--	0
5	.	.	SENT	.	_	--	4
6	.	.	SENT	.	_	UC	5
7	.	.	SENT	.	_	UC	6

1	Ach	Ach	ITJ	ach	_	OC	4
2	Himmel	Himmel	NN	Himmel	acc|sg|masc	NK	1
3	/	/	$,	/	_	--	2
4	must	Must	VMFIN	müssen	sg|1|pres|ind	--	0
5	ich	ich	PPER	ich	nom|sg|*|1	SB	4
6	nur	nur	ADV	nur	_	MO	8
7	die	die	ART	d	nom|sg|fem	NK	8
8	Sprach	Sprach	NN	Sprache	nom|sg|fem	OA	4
9	'	'	$'	'	_	--	8
10	erlangen	erlangen	VVINF	erlangen	_	OC	13
11	/	/	$,	/	_	--	10
12	Mein	Mein	PPOSAT	mein	dat|sg|masc	NK	13
13	Ungluͤck	Unglück	NN	Unglück	dat|sg|neut	OA	15
14	zu	zu	PTKZU	zu	_	PM	15
15	beklagen	beklagen	VVINF	beklagen	_	OC	4
16	!	!	SENT	!	_	--	15
17	/	/	$,	/	_	--	16

1	Des	Des	ART	d	gen|sg|masc	NK	2
2	Koͤnigs	Königs	NN	König	gen|sg|masc	AG	3
3	Freyheit	Freiheit	NN	Freiheit	nom|sg|fem	OA	6
4	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
5	man	man	PIS	man	nom|sg|*	SB	4
6	kauffen	kaufen	VVINF	kaufen	_	OC	4
7	Und	Und	KON	und	_	CD	6
8	die	die	PDS	d	nom|sg|fem	NK	10
9	zerstreute	zerstreute	VVFIN	zerstreuen	nom|sg|fem|pos	NK	10
10	Schaaren	Scharen	NN	Schar	nom|sg|fem	OA	14
11	Nach	Nach	APPR	Nach	_	MO	14
12	Muͤglichkeit	Müglichkeit	NN	Müglichkeit	dat|sg|fem	NK	11
13	zusammen	zusammen	PTKVZ	zusammen	_	MO	14
14	fuͤhren	führen	VVINF	führen	_	CJ	7
15	;	;	SENT	;	_	--	14

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	meiste	meiste	PIS	viel	nom|sg|neut	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	noch	noch	ADV	noch	_	MO	3
5	zu	zu	PTKZU	zu	_	PM	6
6	befahren	befahren	VVINF	befahren	_	OC	2
7	Von	Von	APPR	von	_	MO	3
8	dem	dem	ART	d	dat|sg|masc	NK	10
9	treulosen	treulosen	ADJA	treulos	dat|sg|masc|pos	NK	10
10	Hauffen	Haufen	NN	Haufe	dat|sg|masc	NK	7
11	/	/	$,	/	_	--	10
12	Die	Die	ART	d	nom|sg|fem	SB	15
13	mit	mit	APPR	mit	_	MO	15
14	Orsan	Orsan	NE	Orsan	dat|sg|*	NK	13
15	geneigt	geneigt	ADJD	geneigt	_	PD	3
16	zum	zum	APPRART	zum	dat|sg|neut	MO	15
17	Rebelliren	Rebelliren	NN	Rebelliren	dat|sg|neut	NK	16
18	.	.	SENT	.	_	--	17

1	Indessen	Indessen	ADV	indessen	_	MO	2
2	halt	halt	ADV	halt	_	--	0
3	'	'	$'	'	_	--	2
4	ich	ich	PPER	ich	nom|sg|*|1	SB	2
5	nuͤtz	nütz	ADJD	nütz	pos	PD	7
6	zu	zu	PTKZU	zu	_	PM	7
7	seyn	sein	VAINF	sein	_	OC	2
8	/	/	$,	/	_	--	7
9	Damit	Damit	KOUS	damit	_	CP	16
10	der	der	ART	d	nom|sg|masc	NK	11
11	Auffruhr	Aufruhr	NN	Aufruhr	nom|sg|masc	SB	16
12	nicht	nicht	PTKNEG	nicht	_	NG	16
13	durch	durch	APPR	durch	_	MO	16
14	deine	deine	PPOSAT	dein	acc|sg|fem	NK	15
15	Sprach	Sprach	NN	Sprache	acc|sg|fem	NK	13
16	erwache	erwache	VVFIN	erwache	sg|3|pres|subj	MO	7
17	/	/	$,	/	_	--	16
18	Der	Der	PRELS	d	nom|sg|masc	SB	21
19	jetzt	jetzt	ADV	jetzt	_	MO	21
20	noch	noch	ADV	noch	_	MO	21
21	schlaͤfft	schläft	VVFIN	schlafen	sg|3|pres|ind	RC	11
22	in	in	APPR	in	_	MO	21
23	Sicherheit	Sicherheit	NN	Sicherheit	acc|sg|fem	NK	22
24	/	/	$,	/	_	--	23
25	Daß	Dass	KOUS	Dass	acc|sg|fem	OA	34
26	man	man	PIS	man	nom|sg|*	SB	34
27	die	die	ART	d	acc|sg|fem	NK	28
28	Wohlthat	Wohltat	NN	Wohltat	acc|sg|fem	OA	34
29	noch	noch	ADV	noch	_	MO	30
30	zur	zur	APPRART	zur	dat|sg|fem	MO	34
31	Zeit	Zeit	NN	Zeit	dat|sg|fem	NK	30
32	Nicht	Nicht	PTKNEG	nicht	_	NG	33
33	kundbar	kundbar	ADJD	kundbar	pos	MO	34
34	mache	mache	VVFIN	machen	sg|3|pres|subj	OC	21
35	/	/	$,	/	_	--	34
36	Die	Die	PDS	d	acc|sg|fem	NK	37
37	du	du	PPER	du	nom|sg|*|2	SB	40
38	vom	vom	APPRART	vom	dat|sg|masc	SBP	41
39	Himmel	Himmel	NN	Himmel	dat|sg|masc	NK	38
40	hast	hast	VAFIN	haben	sg|2|pres|ind	PAR	34
41	genossen	genossen	VVPP	genießen	_	OC	40
42	/	/	$,	/	_	--	41
43	Daß	Dass	KOUS	Dass	_	CP	48
44	dir	dir	PPER	du	dat|sg|*|2	DA	48
45	der	der	ART	d	dat|sg|fem	NK	47
46	stumme	stumme	ADJA	stumm	nom|sg|masc|pos	NK	47
47	Mund	Mund	NN	Mund	nom|sg|masc	SB	34
48	entschlossen	entschlossen	VVPP	entschließen	_	MO	34
49	.	.	SENT	.	_	--	48

1	Sol	Sol	VMFIN	sollen	_	CP	7
2	ich	ich	PPER	ich	nom|sg|*|1	SB	7
3	die	die	ART	d	acc|sg|fem	NK	4
4	Gnad	Gnad	NN	Gnade	acc|sg|fem	OA	7
5	undanckbar	undanckbar	ADJD	undanckbar	pos	MO	7
6	dann	dann	ADV	dann	_	MO	7
7	verschweigen	verschweigen	VVINF	verschweigen	_	--	0
8	/	/	$,	/	_	--	7
9	So	So	KOUS	so	_	MO	13
10	mir	mir	PPER	ich	dat|sg|*|1	DA	13
11	die	die	ART	d	acc|pl|masc	NK	12
12	Goͤtter	Götter	NN	Gott	acc|pl|masc	OA	13
13	zeigen	zeigen	VVINF	zeigen	_	MO	7
14	?	?	SENT	?	_	--	13

1	Du	Du	PPER	du	nom|sg|*|2	SB	2
2	kanst	kannst	VMFIN	können	sg|3|pres|ind	--	0
3	die	die	ART	d	acc|sg|fem	NK	4
4	Danckbarkeit	Dankbarkeit	NN	Dankbarkeit	acc|sg|fem	OA	8
5	im	im	APPRART	im	dat|sg|neut	MO	8
6	stillen	stillen	ADJA	still	dat|sg|neut|pos	NK	7
7	Hertzen	Herzen	NN	Herz	dat|sg|neut	NK	5
8	hegen	hegen	VVINF	hegen	_	OC	2
9	/	/	$,	/	_	--	8
10	Biß	Biß	APPR	bis	nom|sg|masc	SB	17
11	sich	sich	PRF	er|es|sie	acc|sg|3	DA	17
12	der	der	ART	d	nom|sg|masc	NK	13
13	Sturm	Sturm	NN	Sturm	nom|sg|masc	SB	17
14	des	des	ART	d	gen|sg|masc	NK	15
15	Auffruhrs	Aufruhrs	NN	Aufruhr	gen|sg|masc	AG	13
16	erst	erst	ADV	erst	_	MO	18
17	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	2
18	legen	legen	VVINF	legen	_	OC	17
19	.	.	SENT	.	_	--	18

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	folge	folge	APPR	folge	sg|1|pres|ind	--	0
3	deinem	deinem	PPOSAT	dein	dat|sg|masc	NK	5
4	treuen	treuen	ADJA	treu	acc|sg|masc|pos	NK	5
5	Rath	Rat	NN	Rat	acc|sg|masc	DA	2
6	;	;	SENT	;	_	--	5

1	Ach	Ach	ITJ	ach	_	DM	3
2	/	/	$,	/	_	--	1
3	aber	aber	ADV	aber	_	--	0
4	ach	ach	ITJ	ach	_	CJ	3
5	!	!	SENT	!	_	--	4

1	Was	Was	PWS	was	nom|sg|neut	--	0
2	dann	dann	ADV	dann	_	MO	1
3	?	?	SENT	?	_	--	2

1	Meins	Meins	NE	Meins	gen|sg|*	AG	2
2	tu	tu	VVIMP	tun	nom|sg|masc	SB	6
3	daß	daß	ART	d	_	CP	6
4	Atis	Atis	NN	Atis	gen|sg|*	SB	6
5	schweigen	schweigen	VVINF	schweigen	_	OC	6
6	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
7	/	/	$,	/	_	--	6
8	Um	Um	KOUI	um	_	CP	15
9	nicht	nicht	PTKNEG	nicht	_	NG	15
10	Elmir	Elmir	NE	Elmir	pos	DA	15
11	die	die	ART	d	acc|sg|fem	NK	12
12	Zeitung	Zeitung	NN	Zeitung	nom|sg|fem	OA	15
13	selbst	selbst	PRF	selbst	_	MO	15
14	zu	zu	PTKZU	zu	_	PM	15
15	bringen	bringen	VVINF	bringen	_	MO	6
16	/	/	$,	/	_	--	15
17	Daß	Dass	KOUS	Dass	_	CP	23
18	ihn	ihn	PPER	er	acc|sg|masc|3	OA	22
19	der	der	ART	d	nom|sg|masc	NK	20
20	Himmel	Himmel	NN	Himmel	nom|sg|masc	SB	23
21	so	so	ADV	so	_	MO	22
22	begluͤcket	beglücket	VVPP	beglücket	_	OC	23
23	hat	hat	VAFIN	haben	sg|3|pres|ind	MO	6
24	?	?	SENT	?	_	--	23

1	Vernunfft	Vernunft	NN	Vernunft	nom|sg|fem	SB	2
2	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
3	diesen	diesen	PDAT	dies	acc|sg|masc	NK	4
4	Liebes-Trieb	Liebes-Trieb	NN	Liebes-Trieb	acc|sg|masc	OA	5
5	bezwingen	bezwingen	VVINF	bezwingen	_	OC	2
6	.	.	SENT	.	_	--	5

1	Mir	Mir	PPER	ich	dat|sg|*|1	DA	2
2	faͤllet	fället	VVFIN	fallen	sg|3|pres|ind	--	0
3	etwas	etwas	PIS	etwas	_	OA	2
4	ein	ein	PTKVZ	ein	_	SVP	2
5	/	/	$,	/	_	--	4
6	Weil	Weil	KOUS	weil	_	CP	10
7	ich	ich	PPER	ich	nom|sg|*|1	SB	10
8	hier	hier	ADV	hier	_	MO	10
9	Land-Volck	Landvolk	NN	Landvolk	acc|sg|neut	OA	10
10	sehe	sehe	VVFIN	sehen	sg|1|pres|ind	MO	2
11	.	.	SENT	.	_	--	10

1	Sag	Sag	VVIMP	sagen	acc|sg|masc	PD	7
2	an	an	PTKVZ	an	_	MNR	1
3	/	/	$,	/	_	--	2
4	was	was	PWREL	was	nom|sg|neut	OA	5
5	sol	sol	VMFIN	sollen	sg|3|pres|ind	--	0
6	es	es	PPER	es	nom|sg|neut|3	SB	5
7	seyn	sein	VAFIN	sein	_	OC	5
8	?	?	SENT	?	_	--	7

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	wil	wil	VMFIN	wollen	sg|1|pres|ind	--	0
3	mich	mich	PPER	ich	acc|sg|1	OA	5
4	selbst	selbst	PRF	selbst	_	MNR	1
5	verhuͤllen	verhüllen	VVFIN	verhüllen	_	OC	2
6	In	In	APPR	in	_	MO	5
7	schlechte	schlechte	ADJA	schlecht	acc|sg|fem|pos	NK	8
8	Bauren-Tracht	Bauren-Tracht	NN	Bauren-Tracht	_	NK	6
9	/	/	$,	/	_	--	8
10	Und	Und	KON	und	_	CD	5
11	sagen	sagen	VVINF	sagen	_	CJ	10
12	/	/	$,	/	_	--	11
13	daß	daß	KOUS	daß	_	CP	19
14	ich	ich	PPER	ich	nom|sg|*|1	SB	19
15	armer	armer	ADJA	arm	gen|pl|masc|pos	NK	16
16	Knabe	Knabe	NN	Knabe	gen|sg|fem	OC	11
17	Von	Von	APPR	von	_	MNR	16
18	Atis	Atis	NE	Atis	dat|sg|fem	NK	17
19	sey	sei	VAFIN	sein	sg|3|pres|subj	OC	11
20	gefangen	gefangen	ADJD	gefangen	_	OC	19
21	/	/	$,	/	_	--	20
22	Der	Der	PRELS	d	nom|sg|masc	SB	25
23	mich	mich	PPER	ich	acc|sg|*|1	OA	25
24	Elmiren	Elmiren	NN	Elmiren	acc|pl|fem	OA	25
25	schickt	schickt	VVFIN	schicken	sg|3|pres|ind	CJ	19
26	zur	zur	APPRART	zur	dat|sg|fem	MO	25
27	Gabe	Gabe	NN	Gabe	dat|sg|fem	NK	26
28	/	/	$,	/	_	--	27
29	Weil	Weil	KOUS	weil	_	CP	36
30	die	die	ART	d	nom|sg|fem	NK	31
31	Natur	Natur	NN	Natur	nom|sg|fem	SB	36
32	mich	mich	PPER	ich	acc|sg|*|1	OA	36
33	ihm	ihm	PPER	er	dat|sg|masc|3	DA	36
34	so	so	ADV	so	_	MO	35
35	gleich	gleich	ADJD	gleich	pos	MO	36
36	gemacht	gemacht	VVPP	gemacht	_	MO	25
37	.	.	SENT	.	_	--	36

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	die	die	ART	d	nom|sg|fem	NK	4
4	Sprache	Sprache	NN	Sprache	nom|sg|fem	OA	7
5	den	den	ART	d	acc|sg|masc	NK	6
6	Betrug	Betrug	NN	Betrug	acc|sg|masc	OA	7
7	erfuͤllen	erfüllen	VVINF	erfüllen	_	RE	1
8	/	/	$,	/	_	--	7
9	Ich	Ich	PPER	ich	nom|sg|*|1	SB	10
10	unbekandt	unbekannt	ADJD	unbekannt	pos	PD	2
11	dadurch	dadurch	PAV	dadurch	_	MO	10
12	erlangen	erlangen	VVINF	erlangen	acc|sg|masc|pos	NK	13
13	Elmir	Elmir	NE	Elmir	acc|sg|masc	OA	15
14	zu	zu	PTKZU	zu	_	PM	15
15	sehn	sehen	VVINF	sehen	_	RE	11
16	/	/	$,	/	_	--	15
17	und	und	KON	und	_	CD	2
18	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	17
19	daneben	daneben	PAV	daneben	_	MO	18
20	Auff	auf	APPR	auf	_	MO	25
21	den	den	ART	d	dat|pl|masc	NK	22
22	Rebellen	Rebellen	NN	Rebell	acc|sg|masc	NK	20
23	Handel	Handel	NN	Handel	acc|sg|masc	OA	25
24	Achtung	Achtung	NN	Achtung	nom|sg|fem	NK	23
25	geben	geben	VVINF	geben	_	OC	18
26	.	.	SENT	.	_	--	25

1	Gluͤck	Glück	NN	Glück	nom|sg|neut	SB	4
2	zu	zu	APPR	zu	_	MNR	1
3	ihr	ihr	PPOSAT	ihr	dat|sg|fem|3	NK	2
4	lieben	lieben	ADJA	lieb	pl|3|pres|ind	--	0
5	Leut	Leut	NN	Leute	acc|sg|masc	OA	4
6	'	'	$'	'	_	--	5
7	!	!	SENT	!	_	--	6

1	Habt	Habt	VAFIN	haben	sg|3|pres|ind	--	0
2	Danck	Dank	APPR	dank	nom|sg|masc	SB	1
3	Ihr	Ihr	PPOSAT	Ihr	acc|sg|neut	NK	4
4	Gnaden	Gnaden	NN	Gnade	acc|sg|neut	OA	1
5	.	.	SENT	.	_	--	4

1	Ihr	Ihr	PPER	Sie	nom|pl|*|2	SB	2
2	duͤrfft	dürft	VMFIN	dürft	sg|3|pres|ind	--	0
3	euch	euch	PPER	ihr	acc|pl|*|2	OA	5
4	nicht	nicht	PTKNEG	nicht	_	NG	2
5	entsetzen	entsetzen	VVINF	entsetzen	_	OC	2
6	/	/	$,	/	_	--	5
7	Wir	Wir	PPER	wir	nom|pl|*|1	SB	8
8	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	CJ	2
9	euch	euch	PPER	ihr	acc|pl|*|2	DA	11
10	nicht	nicht	PTKNEG	nicht	_	NG	8
11	schaden	schaden	VVINF	schaden	_	OC	8
12	.	.	SENT	.	_	--	11

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	suchen	suchen	VVFIN	suchen	pl|1|pres|ind	--	0
3	nur	nur	ADV	nur	_	MO	6
4	ein	ein	ART	ein	nom|sg|neut	NK	6
5	schlechtes	schlechtes	ADJA	schlecht	nom|sg|neut|pos	NK	6
6	Bauren-Kleid	Bauren-Kleid	NN	Bauren-Kleid	nom|sg|neut	OA	2
7	Zu	Zu	PTKZU	zu	_	PM	8
8	tauschen	tauschen	VVINF	tauschen	_	OC	2
9	mit	mit	APPR	mit	_	MO	8
10	den	den	ART	d	dat|pl|fem	NK	12
11	reichen	reichen	ADJA	reich	dat|pl|masc|pos	NK	12
12	Schaͤtzen	Schätzen	NN	Schatz	dat|pl|masc	NK	9
13	/	/	$,	/	_	--	12
14	Die	Die	ART	d	nom|pl|masc	SB	19
15	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	19
16	an	an	APPR	an	_	MO	19
17	diesem	diesem	PDAT	dies	dat|sg|masc	NK	18
18	Kleide	Kleide	NN	Kleid	dat|sg|masc	NK	16
19	spuͤhret	spühret	VVFIN	spühret	sg|3|pres|ind	RC	12
20	.	.	SENT	.	_	--	19

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	thun	tun	VVFIN	tun	pl|1|pres|ind	--	0
3	/	/	$,	/	_	--	2
4	was	was	PWREL	was	nom|sg|neut	OA	6
5	uns	uns	PPER	wir	dat|pl|*|1	DA	6
6	gebuͤhret	gebühret	VVPP	gebühren	_	OC	2
7	.	.	SENT	.	_	--	6

1	Seht	Seht	VVIMP	sehen	sg|3|pres|ind	MO	6
2	/	/	$,	/	_	--	1
3	wie	wie	KOUS	wie	_	CM	4
4	Herr	Herr	NN	Herr	nom|sg|masc	MO	1
5	Elcius	Elcius	NE	Elcius	nom|sg|masc	NK	4
6	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
7	ein	ein	ART	ein	nom|sg|masc	NK	8
8	Politicus	Politicus	NN	Politicus	nom|sg|masc	SB	6
9	,	,	$,	,	_	--	8
10	Und	Und	KON	und	_	CD	6
11	haͤngt	hängt	VVFIN	hängen	sg|3|pres|ind	CJ	10
12	/	/	$,	/	_	--	11
13	umb	umb	KOUI	um	dat|sg|masc	DA	17
14	sein	sein	PPOSAT	sein	acc|sg|neut	NK	15
